Country.Code,Country Name,Year,DEMOC,AUTOC,POLITY,POLITY2
NOR,Norway,1956,10,0,10,10
NOR,Norway,1957,10,0,10,10
NOR,Norway,1958,10,0,10,10
NOR,Norway,1959,10,0,10,10
NOR,Norway,1960,10,0,10,10
NOR,Norway,1961,10,0,10,10
NOR,Norway,1962,10,0,10,10
NOR,Norway,1963,10,0,10,10
NOR,Norway,1964,10,0,10,10
NOR,Norway,1965,10,0,10,10
NOR,Norway,1966,10,0,10,10
NOR,Norway,1967,10,0,10,10
NOR,Norway,1968,10,0,10,10
NOR,Norway,1969,10,0,10,10
NOR,Norway,1970,10,0,10,10
NOR,Norway,1971,10,0,10,10
NOR,Norway,1972,10,0,10,10
NOR,Norway,1973,10,0,10,10
NOR,Norway,1974,10,0,10,10
NOR,Norway,1975,10,0,10,10
NOR,Norway,1976,10,0,10,10
NOR,Norway,1977,10,0,10,10
NOR,Norway,1978,10,0,10,10
NOR,Norway,1979,10,0,10,10
NOR,Norway,1980,10,0,10,10
NOR,Norway,1981,10,0,10,10
NOR,Norway,1982,10,0,10,10
NOR,Norway,1983,10,0,10,10
NOR,Norway,1984,10,0,10,10
NOR,Norway,1985,10,0,10,10
NOR,Norway,1986,10,0,10,10
NOR,Norway,1987,10,0,10,10
NOR,Norway,1988,10,0,10,10
NOR,Norway,1989,10,0,10,10
NOR,Norway,1990,10,0,10,10
NOR,Norway,1991,10,0,10,10
NOR,Norway,1992,10,0,10,10
NOR,Norway,1993,10,0,10,10
NOR,Norway,1994,10,0,10,10
NOR,Norway,1995,10,0,10,10
NOR,Norway,1996,10,0,10,10
NOR,Norway,1997,10,0,10,10
NOR,Norway,1998,10,0,10,10
NOR,Norway,1999,10,0,10,10
NOR,Norway,2000,10,0,10,10
NOR,Norway,2001,10,0,10,10
NOR,Norway,2002,10,0,10,10
NOR,Norway,2003,10,0,10,10
NOR,Norway,2004,10,0,10,10
NOR,Norway,2005,10,0,10,10
NOR,Norway,2006,10,0,10,10
NOR,Norway,2007,10,0,10,10
NOR,Norway,2008,10,0,10,10
NOR,Norway,2009,10,0,10,10
NOR,Norway,2010,10,0,10,10
DEN,Denmark,1800,0,10,-10,-10
DEN,Denmark,1801,0,10,-10,-10
DEN,Denmark,1802,0,10,-10,-10
DEN,Denmark,1803,0,10,-10,-10
DEN,Denmark,1804,0,10,-10,-10
DEN,Denmark,1805,0,10,-10,-10
DEN,Denmark,1806,0,10,-10,-10
DEN,Denmark,1807,0,10,-10,-10
DEN,Denmark,1808,0,10,-10,-10
